time,robot_x,robot_y,intrusion_detected,num_intruders,closest_dist,alert_level,is_alarming,alarm_event
6.250,3.390,1.500,True,0,,info,False,silent
6.300,3.405,1.500,True,0,,info,False,silent
6.350,3.420,1.500,True,0,,info,False,silent
6.400,3.435,1.500,True,0,,info,False,silent
6.450,3.450,1.500,True,0,,info,False,silent
6.500,3.465,1.500,True,0,,info,False,silent
6.550,3.480,1.500,True,0,,info,False,silent
6.600,3.495,1.500,True,0,,info,False,silent
6.650,3.510,1.500,True,0,,info,False,silent
6.700,3.525,1.500,True,0,,info,False,silent
6.750,3.540,1.500,True,0,,info,False,silent
6.800,3.555,1.500,True,0,,info,False,silent
6.850,3.570,1.500,True,0,,info,False,silent
6.900,3.585,1.500,True,0,,info,False,silent
6.950,3.600,1.500,True,0,,info,False,silent
7.000,3.615,1.500,True,0,,info,False,silent
7.050,3.630,1.500,True,0,,info,False,silent
7.100,3.645,1.500,True,0,,info,False,silent
7.150,3.660,1.500,True,0,,info,False,silent
7.200,3.675,1.500,True,0,,info,False,silent
7.250,3.690,1.500,True,1,3.761,warning,False,silent
7.300,3.705,1.500,True,0,,warning,False,silent
7.350,3.720,1.500,True,0,,warning,False,silent
7.400,3.735,1.500,True,0,,warning,False,silent
7.450,3.750,1.500,True,0,,warning,False,silent
7.500,3.765,1.500,True,0,,warning,False,silent
7.550,3.780,1.500,True,0,,warning,False,silent
7.600,3.795,1.500,True,0,,warning,False,silent
7.650,3.810,1.500,True,0,,warning,False,silent
7.700,3.825,1.500,True,0,,warning,False,silent
7.750,3.840,1.500,True,0,,warning,False,silent
7.800,3.855,1.500,True,0,,warning,False,silent
7.850,3.870,1.500,True,0,,warning,False,silent
7.900,3.885,1.500,True,0,,warning,False,silent
7.950,3.900,1.500,True,0,,warning,False,silent
8.000,3.915,1.500,True,0,,warning,False,silent
8.050,3.930,1.500,True,0,,warning,False,silent
8.100,3.945,1.500,True,0,,warning,False,silent
8.150,3.960,1.500,True,0,,warning,False,silent
8.200,3.975,1.500,True,0,,warning,False,silent
8.250,3.990,1.500,True,1,3.543,warning,False,silent
8.300,4.005,1.500,False,0,,warning,False,silent
8.350,4.020,1.500,False,0,,warning,False,silent
8.400,4.035,1.500,False,0,,warning,False,silent
8.450,4.050,1.500,False,0,,warning,False,silent
8.500,4.065,1.500,False,0,,warning,False,silent
8.550,4.080,1.500,False,0,,warning,False,silent
8.600,4.095,1.500,False,0,,warning,False,silent
8.650,4.110,1.500,False,0,,warning,False,silent
8.700,4.125,1.500,False,0,,warning,False,silent
8.750,4.140,1.500,False,0,,warning,False,silent
8.800,4.155,1.500,False,0,,warning,False,silent
8.850,4.170,1.500,False,0,,warning,False,silent
8.900,4.185,1.500,False,0,,warning,False,silent
8.950,4.200,1.500,False,0,,warning,False,silent
9.000,4.215,1.500,False,0,,warning,False,silent
9.050,4.230,1.500,False,0,,warning,False,silent
9.100,4.245,1.500,False,0,,warning,False,silent
9.150,4.260,1.500,False,0,,warning,False,silent
9.200,4.275,1.500,False,0,,warning,False,silent
9.250,4.290,1.500,False,0,,nominal,False,silent
9.300,4.305,1.500,False,0,,nominal,False,silent
9.350,4.320,1.500,False,0,,nominal,False,silent
9.400,4.335,1.500,False,0,,nominal,False,silent
9.450,4.350,1.500,False,0,,nominal,False,silent
9.500,4.365,1.500,False,0,,nominal,False,silent
9.550,4.380,1.500,False,0,,nominal,False,silent
9.600,4.395,1.500,False,0,,nominal,False,silent
9.650,4.410,1.500,False,0,,nominal,False,silent
9.700,4.425,1.500,False,0,,nominal,False,silent
9.750,4.440,1.500,False,0,,nominal,False,silent
9.800,4.455,1.500,False,0,,nominal,False,silent
9.850,4.470,1.500,False,0,,nominal,False,silent
9.900,4.485,1.500,False,0,,nominal,False,silent
9.950,4.500,1.500,False,0,,nominal,False,silent
10.000,4.515,1.500,False,0,,nominal,False,silent
10.050,4.530,1.500,False,0,,nominal,False,silent
10.100,4.545,1.500,False,0,,nominal,False,silent
10.150,4.560,1.500,False,0,,nominal,False,silent
10.200,4.575,1.500,False,0,,nominal,False,silent
10.250,4.590,1.500,False,0,,nominal,False,silent
10.300,4.605,1.500,False,0,,nominal,False,silent
10.350,4.620,1.500,False,0,,nominal,False,silent
10.400,4.635,1.500,False,0,,nominal,False,silent
10.450,4.650,1.500,False,0,,nominal,False,silent
10.500,4.665,1.500,False,0,,nominal,False,silent
10.550,4.680,1.500,False,0,,nominal,False,silent
10.600,4.695,1.500,False,0,,nominal,False,silent
10.650,4.710,1.500,False,0,,nominal,False,silent
10.700,4.725,1.500,False,0,,nominal,False,silent
10.750,4.740,1.500,False,0,,nominal,False,silent
10.800,4.755,1.500,False,0,,nominal,False,silent
10.850,4.770,1.500,False,0,,nominal,False,silent
10.900,4.785,1.500,False,0,,nominal,False,silent
10.950,4.800,1.500,False,0,,nominal,False,silent
11.000,4.815,1.500,False,0,,nominal,False,silent
11.050,4.830,1.500,False,0,,nominal,False,silent
11.100,4.845,1.500,False,0,,nominal,False,silent
11.150,4.860,1.500,False,0,,nominal,False,silent
11.200,4.875,1.500,False,0,,nominal,False,silent
11.250,4.890,1.500,False,0,,nominal,False,silent
11.300,4.905,1.500,False,0,,nominal,False,silent
11.350,4.920,1.500,False,0,,nominal,False,silent
11.400,4.935,1.500,False,0,,nominal,False,silent
11.450,4.950,1.500,False,0,,nominal,False,silent
11.500,4.965,1.500,False,0,,nominal,False,silent
11.550,4.980,1.500,False,0,,nominal,False,silent
11.600,4.995,1.500,False,0,,nominal,False,silent
11.650,5.010,1.500,False,0,,nominal,False,silent
11.700,5.025,1.500,False,0,,nominal,False,silent
11.750,5.040,1.500,False,0,,nominal,False,silent
11.800,5.055,1.500,False,0,,nominal,False,silent
11.850,5.070,1.500,False,0,,nominal,False,silent
11.900,5.085,1.500,False,0,,nominal,False,silent
11.950,5.100,1.500,False,0,,nominal,False,silent
12.000,5.115,1.500,False,0,,nominal,False,silent
12.050,5.130,1.500,False,0,,nominal,False,silent
12.100,5.145,1.500,False,0,,nominal,False,silent
12.150,5.160,1.500,False,0,,nominal,False,silent
12.200,5.175,1.500,False,0,,nominal,False,silent
12.250,5.190,1.500,False,0,,nominal,False,silent
12.300,5.205,1.500,False,0,,nominal,False,silent
12.350,5.220,1.500,False,0,,nominal,False,silent
12.400,5.235,1.500,False,0,,nominal,False,silent
12.450,5.250,1.500,False,0,,nominal,False,silent
12.500,5.265,1.500,False,0,,nominal,False,silent
12.550,5.280,1.500,False,0,,nominal,False,silent
12.600,5.295,1.500,False,0,,nominal,False,silent
12.650,5.310,1.500,False,0,,nominal,False,silent
12.700,5.325,1.500,False,0,,nominal,False,silent
12.750,5.340,1.500,False,0,,nominal,False,silent
12.800,5.355,1.500,False,0,,nominal,False,silent
12.850,5.370,1.500,False,0,,nominal,False,silent
12.900,5.385,1.500,False,0,,nominal,False,silent
12.950,5.400,1.500,False,0,,nominal,False,silent
13.000,5.415,1.500,False,0,,nominal,False,silent
13.050,5.430,1.500,False,0,,nominal,False,silent
13.100,5.445,1.500,False,0,,nominal,False,silent
13.150,5.460,1.500,False,0,,nominal,False,silent
13.200,5.475,1.500,False,0,,nominal,False,silent
13.250,5.490,1.500,False,0,,nominal,False,silent
13.300,5.505,1.500,False,0,,nominal,False,silent
13.350,5.520,1.500,False,0,,nominal,False,silent
13.400,5.535,1.500,False,0,,nominal,False,silent
13.450,5.550,1.500,False,0,,nominal,False,silent
13.500,5.565,1.500,False,0,,nominal,False,silent
13.550,5.580,1.500,False,0,,nominal,False,silent
13.600,5.595,1.500,False,0,,nominal,False,silent
13.650,5.610,1.500,False,0,,nominal,False,silent
13.700,5.625,1.500,False,0,,nominal,False,silent
13.750,5.640,1.500,False,0,,nominal,False,silent
13.800,5.655,1.500,False,0,,nominal,False,silent
13.850,5.670,1.500,False,0,,nominal,False,silent
13.900,5.685,1.500,False,0,,nominal,False,silent
13.950,5.700,1.500,False,0,,nominal,False,silent
14.000,5.715,1.500,False,0,,nominal,False,silent
14.050,5.730,1.500,False,0,,nominal,False,silent
14.100,5.745,1.500,False,0,,nominal,False,silent
14.150,5.760,1.500,False,0,,nominal,False,silent
14.200,5.775,1.500,False,0,,nominal,False,silent
14.250,5.790,1.500,False,0,,nominal,False,silent
14.300,5.805,1.500,False,0,,nominal,False,silent
14.350,5.820,1.500,False,0,,nominal,False,silent
14.400,5.835,1.500,False,0,,nominal,False,silent
14.450,5.850,1.500,False,0,,nominal,False,silent
14.500,5.865,1.500,False,0,,nominal,False,silent
14.550,5.880,1.500,False,0,,nominal,False,silent
14.600,5.895,1.500,False,0,,nominal,False,silent
14.650,5.910,1.500,False,0,,nominal,False,silent
14.700,5.925,1.500,False,0,,nominal,False,silent
14.750,5.940,1.500,False,0,,nominal,False,silent
14.800,5.955,1.500,False,0,,nominal,False,silent
14.850,5.970,1.500,False,0,,nominal,False,silent
