time,robot_x,robot_y,robot_theta,intrusion_detected,num_intruders,num_alerts,closest_dist
2.100,2.145,1.500,0.000,False,0,0,
2.150,2.160,1.500,0.000,False,0,0,
2.200,2.175,1.500,0.000,False,0,0,
2.250,2.190,1.500,0.000,False,0,0,
2.300,2.205,1.500,0.000,False,0,0,
2.350,2.220,1.500,0.000,False,0,0,
2.400,2.235,1.500,0.000,False,0,0,
2.450,2.250,1.500,0.000,False,0,0,
2.500,2.265,1.500,0.000,False,0,0,
2.550,2.280,1.500,0.000,False,0,0,
2.600,2.295,1.500,0.000,False,0,0,
2.650,2.310,1.500,0.000,False,0,0,
2.700,2.325,1.500,0.000,False,0,0,
2.750,2.340,1.500,0.000,False,0,0,
2.800,2.355,1.500,0.000,False,0,0,
2.850,2.370,1.500,0.000,False,0,0,
2.900,2.385,1.500,0.000,False,0,0,
2.950,2.400,1.500,0.000,False,0,0,
3.000,2.415,1.500,0.000,False,0,0,
3.050,2.430,1.500,0.000,True,1,1,4.776
3.100,2.445,1.500,0.000,True,1,0,4.764
3.150,2.460,1.500,0.000,True,1,0,4.751
3.200,2.475,1.500,0.000,True,1,0,4.738
3.250,2.490,1.500,0.000,True,1,0,4.725
3.300,2.505,1.500,0.000,True,1,0,4.713
3.350,2.520,1.500,0.000,True,1,0,4.700
3.400,2.535,1.500,0.000,True,1,0,4.687
3.450,2.550,1.500,0.000,True,1,0,4.675
3.500,2.565,1.500,0.000,True,1,0,4.662
3.550,2.580,1.500,0.000,True,1,0,4.649
3.600,2.595,1.500,0.000,True,1,0,4.637
3.650,2.610,1.500,0.000,True,1,0,4.624
3.700,2.625,1.500,0.000,True,1,0,4.611
3.750,2.640,1.500,0.000,True,1,0,4.599
3.800,2.655,1.500,0.000,True,1,0,4.586
3.850,2.670,1.500,0.000,True,1,0,4.574
3.900,2.685,1.500,0.000,True,1,0,4.561
3.950,2.700,1.500,0.000,True,1,0,4.549
4.000,2.715,1.500,0.000,True,1,0,4.536
4.050,2.730,1.500,0.000,True,1,0,4.524
4.100,2.745,1.500,0.000,True,1,0,4.511
4.150,2.760,1.500,0.000,True,1,0,4.499
4.200,2.775,1.500,0.000,True,1,0,4.486
4.250,2.790,1.500,0.000,True,1,0,4.474
4.300,2.805,1.500,0.000,True,1,0,4.461
4.350,2.820,1.500,0.000,True,1,0,4.449
4.400,2.835,1.500,0.000,True,1,0,4.436
4.450,2.850,1.500,0.000,True,1,0,4.424
4.500,2.865,1.500,0.000,True,1,0,4.412
4.550,2.880,1.500,0.000,True,1,0,4.399
4.600,2.895,1.500,0.000,True,1,1,4.387
4.650,2.910,1.500,0.000,True,1,0,4.375
4.700,2.925,1.500,0.000,True,1,0,4.362
4.750,2.940,1.500,0.000,True,1,0,4.350
4.800,2.955,1.500,0.000,True,1,0,4.338
4.850,2.970,1.500,0.000,True,1,0,4.326
4.900,2.985,1.500,0.000,True,1,0,4.313
4.950,3.000,1.500,0.000,True,1,0,4.301
5.000,3.015,1.500,0.000,True,1,0,4.289
5.050,3.030,1.500,0.000,True,1,0,4.277
5.100,3.045,1.500,0.000,True,1,0,4.265
5.150,3.060,1.500,0.000,True,1,0,4.252
5.200,3.075,1.500,0.000,True,1,0,4.240
5.250,3.090,1.500,0.000,True,1,0,4.228
5.300,3.105,1.500,0.000,True,1,0,4.216
5.350,3.120,1.500,0.000,True,1,0,4.204
5.400,3.135,1.500,0.000,True,1,0,4.192
5.450,3.150,1.500,0.000,True,1,0,4.180
5.500,3.165,1.500,0.000,True,1,0,4.168
5.550,3.180,1.500,0.000,True,1,0,4.156
5.600,3.195,1.500,0.000,True,1,0,4.144
5.650,3.210,1.500,0.000,True,1,0,4.132
5.700,3.225,1.500,0.000,True,1,0,4.120
5.750,3.240,1.500,0.000,True,1,0,4.108
5.800,3.255,1.500,0.000,True,1,0,4.096
5.850,3.270,1.500,0.000,True,1,0,4.084
5.900,3.285,1.500,0.000,True,1,0,4.073
5.950,3.300,1.500,0.000,True,1,0,4.061
6.000,3.315,1.500,0.000,True,1,0,4.049
6.050,3.330,1.500,0.000,True,1,0,4.037
6.100,3.345,1.500,0.000,True,1,0,4.025
6.150,3.360,1.500,0.000,True,1,1,4.014
6.200,3.375,1.500,0.000,True,1,0,4.002
6.250,3.390,1.500,0.000,True,1,0,3.990
6.300,3.405,1.500,0.000,True,1,0,3.979
6.350,3.420,1.500,0.000,True,1,0,3.967
