t,true_x,true_y,true_theta,est_x,est_y,est_theta,err_pos_m,err_theta_deg
0.000,1.0150,9.7500,0.0029,1.0000,9.7500,0.0000,0.0150,0.17
0.000,1.0300,9.7500,0.0053,1.0000,9.7500,0.0000,0.0300,0.30
0.050,1.0450,9.7501,0.0086,1.0352,9.7495,0.0203,0.0099,0.67
0.100,1.0600,9.7503,0.0115,1.0281,9.7492,-0.0061,0.0319,1.01
0.150,1.0750,9.7504,0.0153,1.0267,9.7527,-0.0031,0.0484,1.05
0.200,1.0900,9.7507,0.0177,1.0384,9.7456,-0.0118,0.0519,1.69
0.250,1.1050,9.7509,0.0196,1.0552,9.7563,0.0119,0.0501,0.44
0.300,1.1200,9.7512,0.0223,1.0555,9.7553,0.0276,0.0647,0.31
0.350,1.1350,9.7515,0.0253,1.0887,9.7505,0.0191,0.0463,0.36
0.400,1.1500,9.7519,0.0277,1.1160,9.7493,0.0199,0.0341,0.45
0.450,1.1650,9.7523,0.0303,1.1215,9.7602,0.0095,0.0443,1.19
0.500,1.1800,9.7528,0.0335,1.1705,9.7529,0.0266,0.0095,0.40
0.550,1.1950,9.7533,0.0375,1.1761,9.7436,0.0321,0.0213,0.31
0.600,1.2100,9.7539,0.0406,1.1975,9.7439,0.0095,0.0160,1.78
0.650,1.2249,9.7545,0.0429,1.2227,9.7553,0.0009,0.0023,2.41
0.700,1.2399,9.7551,0.0452,1.2552,9.7480,0.0243,0.0169,1.20
0.750,1.2549,9.7558,0.0454,1.2521,9.7472,0.0325,0.0090,0.74
0.800,1.2699,9.7565,0.0472,1.2452,9.7709,0.0410,0.0286,0.35
0.850,1.2849,9.7572,0.0488,1.2528,9.7596,0.0171,0.0322,1.82
0.900,1.2999,9.7579,0.0493,1.2585,9.7460,0.0523,0.0431,0.17
0.950,1.3148,9.7587,0.0515,1.2640,9.7564,0.0589,0.0509,0.42
1.000,1.3298,9.7594,0.0527,1.2870,9.7489,0.0118,0.0441,2.34
1.050,1.3448,9.7602,0.0530,1.3127,9.7520,0.0375,0.0331,0.89
1.100,1.3598,9.7610,0.0526,1.3280,9.7597,0.0554,0.0318,0.16
1.150,1.3748,9.7618,0.0518,1.3346,9.7690,0.0570,0.0409,0.30
1.200,1.3897,9.7626,0.0514,1.3708,9.7623,0.0815,0.0189,1.72
1.250,1.4047,9.7633,0.0518,1.3945,9.7593,0.0754,0.0109,1.35
1.300,1.4197,9.7641,0.0527,1.4143,9.7654,0.0386,0.0055,0.81
1.350,1.4347,9.7649,0.0525,1.4101,9.7515,0.0457,0.0281,0.39
1.400,1.4497,9.7657,0.0517,1.4201,9.7602,0.0684,0.0301,0.96
1.450,1.4646,9.7665,0.0519,1.4038,9.7725,0.0616,0.0611,0.56
1.500,1.4796,9.7673,0.0524,1.4180,9.7676,0.0374,0.0616,0.86
1.550,1.4946,9.7680,0.0521,1.4432,9.7630,0.0392,0.0516,0.74
1.600,1.5096,9.7688,0.0519,1.4775,9.7734,0.0423,0.0324,0.55
1.650,1.5246,9.7696,0.0525,1.5047,9.7663,0.0503,0.0202,0.12
1.700,1.5395,9.7704,0.0512,1.5202,9.7675,0.0232,0.0195,1.61
1.750,1.5545,9.7712,0.0492,1.5006,9.7699,0.0831,0.0539,1.94
1.800,1.5695,9.7719,0.0485,1.5201,9.7793,0.0848,0.0499,2.08
1.850,1.5845,9.7726,0.0477,1.5314,9.7706,0.0625,0.0531,0.85
1.900,1.5995,9.7733,0.0481,1.5508,9.7768,0.0482,0.0488,0.00
1.950,1.6144,9.7741,0.0480,1.5517,9.7648,0.0355,0.0634,0.72
2.000,1.6294,9.7748,0.0474,1.5822,9.7614,0.0574,0.0490,0.58
2.050,1.6444,9.7755,0.0462,1.6273,9.7804,0.0352,0.0178,0.63
2.100,1.6594,9.7762,0.0447,1.6165,9.7826,0.0502,0.0433,0.31
2.150,1.6744,9.7768,0.0424,1.6371,9.7806,0.0662,0.0375,1.36
2.200,1.6894,9.7775,0.0417,1.6658,9.7954,0.0600,0.0296,1.05
2.250,1.7044,9.7781,0.0414,1.6627,9.7713,0.0561,0.0423,0.84
2.300,1.7193,9.7787,0.0407,1.6772,9.7759,0.0331,0.0422,0.43
2.350,1.7343,9.7793,0.0421,1.6922,9.7778,0.0398,0.0422,0.13
2.400,1.7493,9.7800,0.0448,1.7085,9.7569,0.0160,0.0469,1.65
2.450,1.7643,9.7806,0.0465,1.7220,9.7442,-0.0013,0.0558,2.74
2.500,1.7793,9.7813,0.0466,1.7432,9.7568,0.0034,0.0437,2.47
2.550,1.7943,9.7820,0.0456,1.7554,9.7812,0.0065,0.0389,2.24
2.600,1.8093,9.7827,0.0443,1.7909,9.7837,0.0396,0.0185,0.27
2.650,1.8242,9.7834,0.0440,1.7574,9.7849,0.0440,0.0668,0.00
2.700,1.8392,9.7840,0.0422,1.7738,9.7763,0.0299,0.0659,0.70
2.750,1.8542,9.7847,0.0395,1.7902,9.7879,0.0559,0.0641,0.94
2.800,1.8692,9.7853,0.0394,1.8229,9.8013,0.0518,0.0489,0.71
2.850,1.8842,9.7859,0.0387,1.8086,9.7884,0.0009,0.0756,2.16
2.900,1.8992,9.7864,0.0357,1.8382,9.7808,0.0322,0.0613,0.20
2.950,1.9142,9.7870,0.0338,1.8595,9.7946,0.0692,0.0553,2.03
3.000,1.9292,9.7875,0.0320,1.8755,9.7937,0.0381,0.0541,0.35
3.050,1.9441,9.7880,0.0293,1.8930,9.7974,0.0255,0.0519,0.22
3.100,1.9591,9.7884,0.0272,1.9542,9.7998,0.0406,0.0124,0.77
3.150,1.9741,9.7888,0.0241,1.9571,9.7970,0.0309,0.0189,0.39
3.200,1.9891,9.7892,0.0210,1.9747,9.7941,0.0640,0.0152,2.46
3.250,2.0041,9.7895,0.0174,1.9683,9.8069,0.0350,0.0398,1.01
3.300,2.0191,9.7897,0.0142,1.9732,9.8169,0.0240,0.0533,0.56
3.350,2.0341,9.7900,0.0107,1.9892,9.8092,0.0330,0.0488,1.28
3.400,2.0491,9.7901,0.0097,2.0216,9.8139,0.0404,0.0363,1.76
3.450,2.0641,9.7903,0.0074,2.0354,9.7952,0.0057,0.0291,0.10
3.500,2.0791,9.7904,0.0058,2.0366,9.8042,0.0298,0.0447,1.37
3.550,2.0941,9.7905,0.0051,2.0490,9.8014,0.0158,0.0464,0.61
3.600,2.1091,9.7905,0.0044,2.0845,9.7950,0.0002,0.0250,0.24
3.650,2.1241,9.7906,0.0052,2.0914,9.7827,0.0235,0.0337,1.05
3.700,2.1391,9.7907,0.0058,2.0841,9.7720,-0.0059,0.0581,0.67
3.750,2.1541,9.7908,0.0060,2.1160,9.7723,0.0024,0.0424,0.20
3.800,2.1691,9.7909,0.0068,2.1542,9.7792,-0.0020,0.0190,0.51
3.850,2.1841,9.7910,0.0055,2.1817,9.7701,-0.0042,0.0210,0.56
3.900,2.1991,9.7910,0.0053,2.2179,9.8010,0.0040,0.0213,0.07
3.950,2.2141,9.7911,0.0046,2.2171,9.7803,0.0106,0.0112,0.34
4.000,2.2291,9.7912,0.0039,2.2361,9.7952,-0.0037,0.0080,0.43
4.050,2.2441,9.7913,0.0031,2.2587,9.7897,0.0061,0.0147,0.17
4.100,2.2591,9.7913,0.0026,2.2595,9.7913,0.0063,0.0004,0.21
4.150,2.2741,9.7913,0.0015,2.2544,9.7939,-0.0097,0.0199,0.64
4.200,2.2891,9.7914,-0.0012,2.2398,9.7941,0.0107,0.0494,0.68
4.250,2.3041,9.7913,-0.0030,2.2565,9.8099,0.0312,0.0511,1.96
4.300,2.3191,9.7913,-0.0025,2.2781,9.8016,0.0204,0.0422,1.31
4.350,2.3341,9.7913,-0.0009,2.2658,9.7645,0.0151,0.0734,0.92
4.400,2.3491,9.7912,0.0001,2.2976,9.7617,-0.0151,0.0593,0.87
4.450,2.3641,9.7912,-0.0004,2.3003,9.7633,0.0017,0.0697,0.12
4.500,2.3791,9.7912,0.0005,2.3352,9.7887,-0.0012,0.0439,0.10
4.550,2.3941,9.7913,0.0006,2.3628,9.7729,-0.0159,0.0363,0.95
4.600,2.4091,9.7913,0.0014,2.4058,9.7882,-0.0191,0.0045,1.18
4.650,2.4241,9.7913,0.0002,2.4164,9.7810,-0.0306,0.0129,1.76
4.700,2.4391,9.7913,-0.0000,2.4220,9.7957,0.0070,0.0176,0.40
4.750,2.4541,9.7913,-0.0004,2.4361,9.7875,-0.0079,0.0184,0.43
4.800,2.4691,9.7913,-0.0013,2.4438,9.7795,0.0112,0.0279,0.72
4.850,2.4841,9.7913,-0.0020,2.4793,9.7810,0.0240,0.0113,1.49
4.900,2.4991,9.7912,-0.0048,2.4753,9.7863,0.0090,0.0243,0.79
4.950,2.5141,9.7912,-0.0059,2.4666,9.7965,0.0579,0.0478,3.65
5.000,2.5291,9.7911,-0.0062,2.4945,9.7938,0.0088,0.0348,0.86
5.050,2.5441,9.7910,-0.0056,2.5167,9.7867,-0.0091,0.0277,0.20
5.100,2.5591,9.7909,-0.0046,2.5191,9.7844,-0.0316,0.0405,1.55
5.150,2.5741,9.7908,-0.0054,2.5391,9.7726,-0.0210,0.0395,0.89
5.200,2.5891,9.7907,-0.0057,2.5287,9.8036,-0.0265,0.0617,1.19
5.250,2.6041,9.7907,-0.0083,2.5698,9.7896,-0.0136,0.0343,0.31
5.300,2.6191,9.7905,-0.0101,2.5872,9.8071,0.0212,0.0359,1.79
5.350,2.6341,9.7904,-0.0134,2.6190,9.8081,-0.0125,0.0233,0.05
5.400,2.6491,9.7902,-0.0178,2.6357,9.8223,-0.0025,0.0348,0.88
5.450,2.6641,9.7899,-0.0180,2.6379,9.8343,-0.0011,0.0516,0.97
5.500,2.6791,9.7896,-0.0194,2.6448,9.7921,-0.0275,0.0344,0.47
5.550,2.6941,9.7894,-0.0164,2.6567,9.8029,-0.0171,0.0397,0.04
5.600,2.7091,9.7891,-0.0133,2.7029,9.7643,-0.0532,0.0256,2.28
5.650,2.7241,9.7889,-0.0109,2.7256,9.7523,-0.0276,0.0366,0.96
5.700,2.7391,9.7887,-0.0086,2.7381,9.7565,-0.0161,0.0322,0.43
5.750,2.7541,9.7886,-0.0077,2.7485,9.7583,-0.0209,0.0308,0.75
5.800,2.7691,9.7885,-0.0090,2.7583,9.7737,-0.0198,0.0183,0.62
5.850,2.7841,9.7884,-0.0095,2.7748,9.7913,0.0029,0.0098,0.71
5.900,2.7991,9.7882,-0.0114,2.7873,9.7837,-0.0011,0.0127,0.59
5.950,2.8141,9.7881,-0.0149,2.7885,9.7989,0.0035,0.0277,1.06
6.000,2.8291,9.7878,-0.0163,2.8011,9.8071,0.0368,0.0340,3.04
6.050,2.8441,9.7876,-0.0180,2.8167,9.7907,0.0123,0.0276,1.74
6.100,2.8591,9.7873,-0.0183,2.8388,9.8003,0.0044,0.0241,1.30
6.150,2.8741,9.7870,-0.0178,2.8465,9.7940,-0.0277,0.0284,0.57
6.200,2.8891,9.7868,-0.0186,2.8426,9.7842,-0.0353,0.0466,0.96
6.250,2.9041,9.7865,-0.0192,2.8576,9.7903,-0.0036,0.0466,0.89
6.300,2.9191,9.7862,-0.0181,2.8929,9.7952,-0.0239,0.0277,0.33
6.350,2.9341,9.7859,-0.0182,2.8885,9.7717,-0.0296,0.0477,0.65
6.400,2.9491,9.7857,-0.0200,2.9238,9.7777,-0.0033,0.0265,0.96
6.450,2.9641,9.7854,-0.0218,2.9372,9.8114,-0.0154,0.0374,0.37
6.500,2.9791,9.7850,-0.0220,2.9513,9.7994,0.0086,0.0313,1.75
6.550,2.9941,9.7847,-0.0225,2.9643,9.7906,-0.0279,0.0304,0.31
6.600,3.0091,9.7844,-0.0221,2.9948,9.8007,-0.0383,0.0217,0.93
6.650,3.0241,9.7840,-0.0234,3.0114,9.7831,-0.0338,0.0127,0.59
6.700,3.0391,9.7837,-0.0210,3.0221,9.8016,-0.0146,0.0247,0.37
6.750,3.0541,9.7834,-0.0194,3.0490,9.7617,-0.0592,0.0223,2.28
6.800,3.0691,9.7831,-0.0174,3.0564,9.7720,-0.0517,0.0168,1.96
6.850,3.0841,9.7828,-0.0160,3.0752,9.7613,-0.0439,0.0232,1.60
6.900,3.0990,9.7826,-0.0154,3.1016,9.7749,-0.0526,0.0081,2.13
6.950,3.1140,9.7823,-0.0163,3.0920,9.7708,-0.0187,0.0248,0.14
7.000,3.1290,9.7821,-0.0176,3.1363,9.7914,-0.0098,0.0118,0.45
7.050,3.1440,9.7818,-0.0215,3.1311,9.7910,0.0066,0.0159,1.61
7.100,3.1590,9.7815,-0.0231,3.1453,9.8192,0.0341,0.0401,3.28
7.150,3.1740,9.7812,-0.0237,3.1416,9.8131,-0.0298,0.0454,0.35
7.200,3.1890,9.7808,-0.0220,3.1722,9.7893,-0.0164,0.0188,0.32
7.250,3.2040,9.7805,-0.0234,3.1804,9.7677,-0.0508,0.0268,1.57
7.300,3.2190,9.7801,-0.0240,3.1893,9.7995,-0.0112,0.0355,0.73
7.350,3.2340,9.7798,-0.0246,3.2073,9.7900,-0.0178,0.0286,0.39
7.400,3.2490,9.7794,-0.0253,3.2228,9.7937,-0.0251,0.0299,0.01
7.450,3.2640,9.7790,-0.0246,3.2465,9.7765,0.0101,0.0176,1.99
7.500,3.2790,9.7787,-0.0257,3.2640,9.7718,-0.0259,0.0165,0.01
7.550,3.2940,9.7783,-0.0271,3.3005,9.7967,-0.0166,0.0195,0.60
7.600,3.3090,9.7779,-0.0287,3.2866,9.8022,-0.0183,0.0331,0.60
7.650,3.3240,9.7774,-0.0291,3.3097,9.8108,-0.0308,0.0364,0.10
7.700,3.3390,9.7770,-0.0281,3.3117,9.7852,-0.0181,0.0285,0.58
7.750,3.3540,9.7766,-0.0281,3.3314,9.7741,-0.0429,0.0227,0.85
7.800,3.3690,9.7761,-0.0260,3.3656,9.7833,-0.0273,0.0079,0.07
7.850,3.3840,9.7758,-0.0234,3.3591,9.7520,-0.0318,0.0345,0.48
7.900,3.3990,9.7754,-0.0220,3.3850,9.7515,-0.0378,0.0277,0.91
7.950,3.4140,9.7751,-0.0188,3.4053,9.7588,-0.0211,0.0185,0.13
8.000,3.4290,9.7748,-0.0171,3.4075,9.7357,-0.0183,0.0446,0.07
8.050,3.4440,9.7745,-0.0155,3.4227,9.7550,-0.0187,0.0288,0.18
8.100,3.4590,9.7743,-0.0150,3.4391,9.7557,-0.0126,0.0272,0.14
8.150,3.4739,9.7741,-0.0129,3.4472,9.7691,-0.0159,0.0272,0.17
8.200,3.4889,9.7739,-0.0098,3.4700,9.7594,-0.0360,0.0239,1.50
8.250,3.5039,9.7737,-0.0101,3.4736,9.7422,-0.0237,0.0437,0.78
8.300,3.5189,9.7736,-0.0105,3.4949,9.7728,-0.0011,0.0241,0.54
8.350,3.5339,9.7734,-0.0124,3.5205,9.7742,-0.0039,0.0134,0.48
8.400,3.5489,9.7732,-0.0138,3.5331,9.7930,-0.0028,0.0253,0.63
8.450,3.5639,9.7730,-0.0144,3.5563,9.7854,-0.0020,0.0145,0.71
8.500,3.5789,9.7728,-0.0116,3.5678,9.7734,0.0053,0.0111,0.97
8.550,3.5939,9.7727,-0.0084,3.5899,9.7436,-0.0383,0.0294,1.71
8.600,3.6089,9.7725,-0.0071,3.6000,9.7319,-0.0376,0.0415,1.75
8.650,3.6239,9.7724,-0.0067,3.5994,9.7572,-0.0245,0.0289,1.02
8.700,3.6389,9.7723,-0.0057,3.6182,9.7682,-0.0150,0.0211,0.53
8.750,3.6539,9.7722,-0.0063,3.6133,9.7572,-0.0153,0.0433,0.52
8.800,3.6689,9.7721,-0.0067,3.6334,9.7693,0.0148,0.0356,1.23
8.850,3.6839,9.7720,-0.0066,3.6180,9.7644,0.0158,0.0664,1.28
8.900,3.6989,9.7719,-0.0073,3.6548,9.7625,0.0044,0.0451,0.67
8.950,3.7139,9.7718,-0.0082,3.6704,9.7728,0.0085,0.0435,0.96
9.000,3.7289,9.7717,-0.0081,3.7214,9.7718,0.0182,0.0075,1.51
9.050,3.7439,9.7716,-0.0091,3.7079,9.7674,-0.0076,0.0362,0.09
9.100,3.7589,9.7714,-0.0104,3.7273,9.7812,0.0021,0.0331,0.71
9.150,3.7739,9.7713,-0.0106,3.7704,9.7897,-0.0064,0.0187,0.24
9.200,3.7889,9.7711,-0.0093,3.7439,9.7884,-0.0395,0.0482,1.73
9.250,3.8039,9.7710,-0.0080,3.7542,9.7608,-0.0342,0.0507,1.50
9.300,3.8189,9.7709,-0.0078,3.7846,9.7545,-0.0230,0.0380,0.87
9.350,3.8339,9.7708,-0.0083,3.7894,9.7647,-0.0080,0.0449,0.02
9.400,3.8489,9.7706,-0.0081,3.8034,9.7752,-0.0050,0.0457,0.18
9.450,3.8639,9.7705,-0.0079,3.8131,9.7610,-0.0015,0.0516,0.37
9.500,3.8789,9.7704,-0.0085,3.8175,9.7684,-0.0127,0.0614,0.24
9.550,3.8939,9.7703,-0.0089,3.8557,9.7782,-0.0099,0.0390,0.06
9.600,3.9089,9.7701,-0.0095,3.8829,9.7764,-0.0103,0.0268,0.05
9.650,3.9239,9.7700,-0.0084,3.8947,9.7724,0.0023,0.0293,0.61
9.700,3.9389,9.7699,-0.0100,3.9140,9.7689,-0.0499,0.0249,2.29
9.750,3.9539,9.7697,-0.0113,3.9240,9.7838,0.0124,0.0330,1.36
9.800,3.9689,9.7695,-0.0119,3.9237,9.7874,-0.0053,0.0486,0.38
9.850,3.9839,9.7694,-0.0124,3.9638,9.7762,-0.0050,0.0212,0.42
9.900,3.9989,9.7692,-0.0122,3.9693,9.7769,-0.0114,0.0306,0.04
9.950,4.0139,9.7690,-0.0129,3.9699,9.7610,-0.0061,0.0447,0.39
10.000,4.0289,9.7688,-0.0139,3.9815,9.7644,0.0202,0.0477,1.95
10.050,4.0439,9.7686,-0.0141,3.9931,9.7716,0.0146,0.0509,1.64
10.100,4.0589,9.7684,-0.0146,4.0044,9.7655,0.0019,0.0546,0.95
10.150,4.0739,9.7682,-0.0139,4.0349,9.7767,-0.0136,0.0399,0.02
10.200,4.0889,9.7680,-0.0129,4.0664,9.7644,-0.0282,0.0228,0.88
10.250,4.1039,9.7678,-0.0131,4.0666,9.7597,-0.0287,0.0381,0.89
10.300,4.1189,9.7676,-0.0125,4.0711,9.7626,0.0027,0.0481,0.87
10.350,4.1339,9.7674,-0.0113,4.0885,9.7586,-0.0139,0.0462,0.15
10.400,4.1489,9.7672,-0.0101,4.1261,9.7427,0.0001,0.0335,0.58
10.450,4.1639,9.7671,-0.0099,4.1289,9.7517,-0.0179,0.0382,0.46
10.500,4.1789,9.7669,-0.0112,4.1393,9.7657,-0.0154,0.0396,0.24
10.550,4.1939,9.7667,-0.0114,4.1672,9.7784,0.0009,0.0292,0.70
10.600,4.2089,9.7666,-0.0119,4.1849,9.7672,-0.0088,0.0240,0.18
10.650,4.2239,9.7664,-0.0137,4.2023,9.7753,-0.0163,0.0234,0.15
10.700,4.2389,9.7662,-0.0168,4.2050,9.7846,-0.0022,0.0386,0.84
10.750,4.2539,9.7659,-0.0184,4.2267,9.7967,0.0038,0.0410,1.27
10.800,4.2689,9.7657,-0.0166,4.2421,9.7873,-0.0174,0.0344,0.04
10.850,4.2839,9.7654,-0.0158,4.2479,9.7397,-0.0016,0.0443,0.81
10.900,4.2989,9.7652,-0.0145,4.2554,9.7546,-0.0101,0.0447,0.25
10.950,4.3139,9.7650,-0.0135,4.2712,9.7502,-0.0099,0.0452,0.21
11.000,4.3289,9.7648,-0.0110,4.2867,9.7550,-0.0159,0.0434,0.28
11.050,4.3439,9.7646,-0.0098,4.3126,9.7517,-0.0529,0.0339,2.47
11.100,4.3589,9.7644,-0.0052,4.3107,9.7642,-0.0421,0.0482,2.12
11.150,4.3739,9.7644,-0.0044,4.3207,9.7137,-0.0227,0.0735,1.05
11.200,4.3889,9.7643,-0.0033,4.3390,9.7501,-0.0025,0.0519,0.05
11.250,4.4039,9.7642,-0.0015,4.3457,9.7524,-0.0191,0.0594,1.01
11.300,4.4189,9.7642,-0.0004,4.3798,9.7385,-0.0185,0.0468,1.04
11.350,4.4339,9.7642,-0.0005,4.4024,9.7487,-0.0195,0.0351,1.09
11.400,4.4489,9.7642,-0.0021,4.4356,9.7529,0.0140,0.0174,0.92
11.450,4.4639,9.7642,-0.0029,4.4441,9.7773,0.0128,0.0237,0.90
11.500,4.4789,9.7641,-0.0047,4.4621,9.7804,-0.0201,0.0234,0.88
11.550,4.4939,9.7641,-0.0053,4.4569,9.7952,-0.0151,0.0484,0.56
11.600,4.5089,9.7640,-0.0048,4.4794,9.7791,-0.0243,0.0331,1.12
11.650,4.5239,9.7639,-0.0045,4.5035,9.7630,-0.0275,0.0205,1.32
11.700,4.5389,9.7638,-0.0043,4.5235,9.7575,-0.0123,0.0166,0.46
11.750,4.5539,9.7638,-0.0030,4.5290,9.7611,-0.0136,0.0250,0.61
11.800,4.5689,9.7637,-0.0019,4.5549,9.7589,-0.0512,0.0148,2.82
11.850,4.5839,9.7637,-0.0004,4.5665,9.7544,-0.0312,0.0197,1.77
11.900,4.5989,9.7637,0.0003,4.5965,9.7347,-0.0077,0.0291,0.46
11.950,4.6139,9.7637,0.0018,4.5813,9.7592,-0.0306,0.0329,1.86
12.000,4.6289,9.7637,0.0028,4.5947,9.7423,-0.0228,0.0403,1.47
12.050,4.6439,9.7638,0.0036,4.6149,9.7484,-0.0158,0.0328,1.11
12.100,4.6589,9.7638,0.0031,4.6297,9.7474,-0.0116,0.0334,0.84
12.150,4.6739,9.7639,0.0018,4.6261,9.7624,0.0035,0.0478,0.10
12.200,4.6889,9.7639,0.0001,4.6509,9.7700,0.0140,0.0385,0.79
12.250,4.7039,9.7639,-0.0017,4.6776,9.7696,0.0263,0.0269,1.60
12.300,4.7189,9.7639,-0.0025,4.6720,9.7722,0.0265,0.0476,1.66
12.350,4.7339,9.7638,-0.0038,4.6965,9.7653,0.0059,0.0374,0.56
12.400,4.7489,9.7638,-0.0054,4.7342,9.7742,0.0044,0.0180,0.56
12.450,4.7639,9.7637,-0.0066,4.7219,9.7618,0.0371,0.0421,2.50
12.500,4.7789,9.7636,-0.0082,4.7505,9.7721,0.0069,0.0297,0.87
12.550,4.7939,9.7635,-0.0091,4.7868,9.7705,0.0176,0.0100,1.53
12.600,4.8089,9.7633,-0.0100,4.7877,9.7699,-0.0016,0.0222,0.48
12.650,4.8239,9.7632,-0.0122,4.8165,9.7753,-0.0121,0.0141,0.01
12.700,4.8389,9.7630,-0.0134,4.8108,9.7778,0.0234,0.0318,2.11
12.750,4.8539,9.7628,-0.0133,4.8432,9.7726,0.0012,0.0145,0.83
12.800,4.8689,9.7626,-0.0136,4.8612,9.7562,-0.0088,0.0100,0.27
12.850,4.8839,9.7624,-0.0147,4.8607,9.7678,-0.0194,0.0238,0.27
12.900,4.8989,9.7622,-0.0159,4.8852,9.7810,-0.0224,0.0232,0.37
12.950,4.9139,9.7620,-0.0162,4.8806,9.7694,0.0062,0.0341,1.28
13.000,4.9289,9.7617,-0.0160,4.9112,9.7663,-0.0185,0.0183,0.14
13.050,4.9439,9.7615,-0.0146,4.9019,9.7629,-0.0278,0.0420,0.76
13.100,4.9589,9.7613,-0.0157,4.8901,9.7552,-0.0493,0.0690,1.93
13.150,4.9739,9.7610,-0.0188,4.9223,9.7815,-0.0275,0.0555,0.50
13.200,4.9889,9.7607,-0.0206,4.9530,9.7880,0.0145,0.0451,2.01
13.250,5.0039,9.7604,-0.0220,4.9520,9.7912,-0.0329,0.0604,0.63
13.300,5.0189,9.7601,-0.0241,4.9926,9.7890,-0.0431,0.0391,1.09
13.350,5.0339,9.7597,-0.0282,5.0211,9.7873,-0.0258,0.0304,0.14
13.400,5.0489,9.7593,-0.0308,5.0156,9.7983,0.0056,0.0513,2.09
13.450,5.0638,9.7589,-0.0330,5.0259,9.7921,-0.0225,0.0504,0.60
13.500,5.0788,9.7584,-0.0330,5.0409,9.7894,-0.0273,0.0490,0.33
13.550,5.0938,9.7579,-0.0316,5.0564,9.7696,-0.0413,0.0392,0.56
13.600,5.1088,9.7574,-0.0295,5.1043,9.7538,-0.0474,0.0058,1.03
13.650,5.1238,9.7569,-0.0275,5.1224,9.7396,-0.0397,0.0173,0.70
13.700,5.1388,9.7565,-0.0241,5.1089,9.7386,-0.0270,0.0348,0.17
13.750,5.1538,9.7562,-0.0224,5.1055,9.7253,-0.0389,0.0574,0.94
13.800,5.1688,9.7558,-0.0222,5.1288,9.7432,-0.0380,0.0419,0.91
13.850,5.1838,9.7555,-0.0218,5.1364,9.7623,-0.0315,0.0479,0.55
13.900,5.1988,9.7552,-0.0208,5.1684,9.7610,-0.0342,0.0310,0.77
13.950,5.2138,9.7549,-0.0200,5.1752,9.7462,-0.0274,0.0395,0.43
14.000,5.2288,9.7546,-0.0203,5.1834,9.7434,-0.0133,0.0468,0.40
14.050,5.2438,9.7543,-0.0212,5.2069,9.7516,0.0048,0.0370,1.49
14.100,5.2588,9.7539,-0.0220,5.2145,9.7640,0.0001,0.0454,1.27
14.150,5.2738,9.7536,-0.0239,5.2199,9.7785,-0.0323,0.0594,0.48
14.200,5.2888,9.7533,-0.0249,5.2502,9.7848,-0.0082,0.0498,0.96
14.250,5.3038,9.7529,-0.0267,5.2714,9.7761,-0.0200,0.0398,0.38
14.300,5.3188,9.7525,-0.0268,5.2652,9.7919,-0.0273,0.0665,0.03
14.350,5.3338,9.7521,-0.0246,5.2739,9.7753,-0.0479,0.0643,1.33
14.400,5.3488,9.7517,-0.0242,5.3242,9.7434,-0.0656,0.0260,2.37
14.450,5.3637,9.7513,-0.0241,5.3379,9.7643,-0.0450,0.0289,1.20
14.500,5.3787,9.7510,-0.0229,5.3363,9.7609,-0.0297,0.0435,0.39
14.550,5.3937,9.7506,-0.0213,5.3541,9.7386,-0.0213,0.0414,0.00
14.600,5.4087,9.7503,-0.0184,5.3564,9.7398,-0.0389,0.0533,1.17
14.650,5.4237,9.7500,-0.0156,5.3913,9.7187,-0.0385,0.0450,1.31
14.700,5.4387,9.7498,-0.0139,5.4005,9.7149,-0.0271,0.0518,0.76
14.750,5.4537,9.7496,-0.0130,5.4182,9.7182,-0.0001,0.0474,0.74
14.800,5.4687,9.7494,-0.0133,5.4186,9.7366,-0.0095,0.0517,0.22
14.850,5.4837,9.7492,-0.0132,5.4209,9.7571,-0.0095,0.0633,0.21
14.900,5.4987,9.7490,-0.0130,5.4576,9.7541,-0.0163,0.0414,0.19
14.950,5.5137,9.7488,-0.0129,5.4596,9.7483,-0.0113,0.0542,0.09
15.000,5.5287,9.7486,-0.0132,5.5161,9.7408,0.0078,0.0148,1.20
15.050,5.5437,9.7484,-0.0122,5.5235,9.7460,0.0107,0.0203,1.31
15.100,5.5587,9.7482,-0.0105,5.5706,9.7370,-0.0182,0.0163,0.44
15.150,5.5737,9.7481,-0.0097,5.5824,9.7336,-0.0334,0.0170,1.36
15.200,5.5887,9.7479,-0.0094,5.5887,9.7383,-0.0104,0.0096,0.06
15.250,5.6037,9.7478,-0.0096,5.6008,9.7480,-0.0187,0.0029,0.52
15.300,5.6187,9.7476,-0.0099,5.6001,9.7469,0.0060,0.0187,0.91
15.350,5.6337,9.7475,-0.0095,5.6008,9.7480,0.0037,0.0329,0.75
15.400,5.6487,9.7474,-0.0109,5.6067,9.7526,-0.0290,0.0423,1.04
15.450,5.6637,9.7472,-0.0117,5.6108,9.7657,0.0065,0.0561,1.04
15.500,5.6787,9.7470,-0.0101,5.6353,9.7474,0.0198,0.0434,1.71
15.550,5.6937,9.7469,-0.0066,5.6668,9.7323,-0.0265,0.0306,1.14
15.600,5.7087,9.7468,-0.0054,5.6996,9.7018,-0.0153,0.0459,0.56
15.650,5.7237,9.7467,-0.0054,5.7117,9.7279,0.0003,0.0223,0.33
